waveform	Ch0		Gen	
t0	11/14/2016  20:10:35.691653		11/14/2016  20:10:35.691665	
delta t	0.000500		0.000500	

time[0]	Ch0	time[1]	Gen
11/14/2016  20:10:35.719653	2.629385E+0	11/14/2016  20:10:35.719665	9.494608E-4
11/14/2016  20:10:35.720153	2.629385E+0	11/14/2016  20:10:35.720165	1.275327E-3
11/14/2016  20:10:35.720653	2.629711E+0	11/14/2016  20:10:35.720665	6.235948E-4
11/14/2016  20:10:35.721153	2.630036E+0	11/14/2016  20:10:35.721165	6.235948E-4
11/14/2016  20:10:35.721653	2.630362E+0	11/14/2016  20:10:35.721665	2.977288E-4
11/14/2016  20:10:35.722153	2.629385E+0	11/14/2016  20:10:35.722165	6.235948E-4
11/14/2016  20:10:35.722653	2.629059E+0	11/14/2016  20:10:35.722665	2.977288E-4
11/14/2016  20:10:35.723153	2.630036E+0	11/14/2016  20:10:35.723165	1.927059E-3
11/14/2016  20:10:35.723653	2.629059E+0	11/14/2016  20:10:35.723665	2.977288E-4
11/14/2016  20:10:35.724153	2.629385E+0	11/14/2016  20:10:35.724165	9.494608E-4
11/14/2016  20:10:35.724653	2.629385E+0	11/14/2016  20:10:35.724665	6.235948E-4
11/14/2016  20:10:35.725153	2.629711E+0	11/14/2016  20:10:35.725165	-2.813726E-5
11/14/2016  20:10:35.725653	2.629385E+0	11/14/2016  20:10:35.725665	2.977288E-4
11/14/2016  20:10:35.726153	2.629711E+0	11/14/2016  20:10:35.726165	2.977288E-4
11/14/2016  20:10:35.726653	2.630036E+0	11/14/2016  20:10:35.726665	2.977288E-4
11/14/2016  20:10:35.727153	2.629711E+0	11/14/2016  20:10:35.727165	2.977288E-4
11/14/2016  20:10:35.727653	2.629711E+0	11/14/2016  20:10:35.727665	6.235948E-4
11/14/2016  20:10:35.728153	2.629711E+0	11/14/2016  20:10:35.728165	9.494608E-4
11/14/2016  20:10:35.728653	2.629385E+0	11/14/2016  20:10:35.728665	1.275327E-3
11/14/2016  20:10:35.729153	2.629711E+0	11/14/2016  20:10:35.729165	6.235948E-4
11/14/2016  20:10:35.729653	2.629385E+0	11/14/2016  20:10:35.729665	6.235948E-4
11/14/2016  20:10:35.730153	2.630036E+0	11/14/2016  20:10:35.730165	-2.813726E-5
11/14/2016  20:10:35.730653	2.630036E+0	11/14/2016  20:10:35.730665	9.494608E-4
11/14/2016  20:10:35.731153	2.629711E+0	11/14/2016  20:10:35.731165	1.601193E-3
11/14/2016  20:10:35.731653	2.629385E+0	11/14/2016  20:10:35.731665	1.275327E-3
11/14/2016  20:10:35.732153	2.629711E+0	11/14/2016  20:10:35.732165	6.235948E-4
11/14/2016  20:10:35.732653	2.630036E+0	11/14/2016  20:10:35.732665	6.235948E-4
11/14/2016  20:10:35.733153	2.630362E+0	11/14/2016  20:10:35.733165	1.275327E-3
11/14/2016  20:10:35.733653	2.629711E+0	11/14/2016  20:10:35.733665	6.235948E-4
11/14/2016  20:10:35.734153	2.629711E+0	11/14/2016  20:10:35.734165	9.494608E-4
11/14/2016  20:10:35.734653	2.629711E+0	11/14/2016  20:10:35.734665	6.235948E-4
11/14/2016  20:10:35.735153	2.629385E+0	11/14/2016  20:10:35.735165	6.235948E-4
11/14/2016  20:10:35.735653	2.630362E+0	11/14/2016  20:10:35.735665	9.494608E-4
11/14/2016  20:10:35.736153	2.630036E+0	11/14/2016  20:10:35.736165	2.977288E-4
11/14/2016  20:10:35.736653	2.630362E+0	11/14/2016  20:10:35.736665	1.275327E-3
11/14/2016  20:10:35.737153	2.629385E+0	11/14/2016  20:10:35.737165	-2.813726E-5
11/14/2016  20:10:35.737653	2.630688E+0	11/14/2016  20:10:35.737665	1.601193E-3
11/14/2016  20:10:35.738153	2.629711E+0	11/14/2016  20:10:35.738165	9.494608E-4
11/14/2016  20:10:35.738653	2.630362E+0	11/14/2016  20:10:35.738665	2.977288E-4
11/14/2016  20:10:35.739153	2.630362E+0	11/14/2016  20:10:35.739165	6.235948E-4
11/14/2016  20:10:35.739653	2.630362E+0	11/14/2016  20:10:35.739665	2.977288E-4
11/14/2016  20:10:35.740153	2.630362E+0	11/14/2016  20:10:35.740165	6.235948E-4
11/14/2016  20:10:35.740653	2.630036E+0	11/14/2016  20:10:35.740665	1.601193E-3
11/14/2016  20:10:35.741153	2.630362E+0	11/14/2016  20:10:35.741165	1.601193E-3
11/14/2016  20:10:35.741653	2.629711E+0	11/14/2016  20:10:35.741665	9.494608E-4
11/14/2016  20:10:35.742153	2.630362E+0	11/14/2016  20:10:35.742165	9.494608E-4
11/14/2016  20:10:35.742653	2.630688E+0	11/14/2016  20:10:35.742665	9.494608E-4
11/14/2016  20:10:35.743153	2.630688E+0	11/14/2016  20:10:35.743165	2.977288E-4
11/14/2016  20:10:35.743653	2.630036E+0	11/14/2016  20:10:35.743665	9.494608E-4
11/14/2016  20:10:35.744153	2.630362E+0	11/14/2016  20:10:35.744165	9.494608E-4
11/14/2016  20:10:35.744653	2.630688E+0	11/14/2016  20:10:35.744665	6.235948E-4
11/14/2016  20:10:35.745153	2.630036E+0	11/14/2016  20:10:35.745165	2.977288E-4
11/14/2016  20:10:35.745653	2.631014E+0	11/14/2016  20:10:35.745665	1.927059E-3
11/14/2016  20:10:35.746153	2.630036E+0	11/14/2016  20:10:35.746165	-2.813726E-5
11/14/2016  20:10:35.746653	2.630362E+0	11/14/2016  20:10:35.746665	9.494608E-4
11/14/2016  20:10:35.747153	2.630036E+0	11/14/2016  20:10:35.747165	9.494608E-4
11/14/2016  20:10:35.747653	2.631014E+0	11/14/2016  20:10:35.747665	2.977288E-4
11/14/2016  20:10:35.748153	2.629711E+0	11/14/2016  20:10:35.748165	9.494608E-4
11/14/2016  20:10:35.748653	2.630688E+0	11/14/2016  20:10:35.748665	9.494608E-4
11/14/2016  20:10:35.749153	2.631340E+0	11/14/2016  20:10:35.749165	1.601193E-3
11/14/2016  20:10:35.749653	2.630362E+0	11/14/2016  20:10:35.749665	6.235948E-4
11/14/2016  20:10:35.750153	2.630688E+0	11/14/2016  20:10:35.750165	9.494608E-4
11/14/2016  20:10:35.750653	2.630362E+0	11/14/2016  20:10:35.750665	9.494608E-4
11/14/2016  20:10:35.751153	2.630688E+0	11/14/2016  20:10:35.751165	-2.813726E-5
11/14/2016  20:10:35.751653	2.630036E+0	11/14/2016  20:10:35.751665	1.275327E-3
11/14/2016  20:10:35.752153	2.631340E+0	11/14/2016  20:10:35.752165	-2.813726E-5
11/14/2016  20:10:35.752653	2.630688E+0	11/14/2016  20:10:35.752665	6.235948E-4
11/14/2016  20:10:35.753153	2.630688E+0	11/14/2016  20:10:35.753165	-2.813726E-5
11/14/2016  20:10:35.753653	2.631340E+0	11/14/2016  20:10:35.753665	6.235948E-4
11/14/2016  20:10:35.754153	2.631666E+0	11/14/2016  20:10:35.754165	1.927059E-3
11/14/2016  20:10:35.754653	2.631340E+0	11/14/2016  20:10:35.754665	1.275327E-3
11/14/2016  20:10:35.755153	2.630036E+0	11/14/2016  20:10:35.755165	2.977288E-4
11/14/2016  20:10:35.755653	2.630688E+0	11/14/2016  20:10:35.755665	6.235948E-4
11/14/2016  20:10:35.756153	2.630688E+0	11/14/2016  20:10:35.756165	2.977288E-4
11/14/2016  20:10:35.756653	2.631014E+0	11/14/2016  20:10:35.756665	1.275327E-3
11/14/2016  20:10:35.757153	2.630036E+0	11/14/2016  20:10:35.757165	1.275327E-3
11/14/2016  20:10:35.757653	2.631340E+0	11/14/2016  20:10:35.757665	6.235948E-4
11/14/2016  20:10:35.758153	2.629711E+0	11/14/2016  20:10:35.758165	9.494608E-4
11/14/2016  20:10:35.758653	2.630362E+0	11/14/2016  20:10:35.758665	2.977288E-4
